country_long,gender,age
Armenia,Male,33
Armenia,Male,25
Armenia,Male,28
Armenia,Male,25
Armenia,Male,25
Colombia,Female,31
Jamaica,Male,35
Gambia,Female,29
Gambia,Male,28
Mexico,Female,30
Mexico,Female,27
Mexico,Male,37
Comoros,Male,27
Comoros,Female,17
Mexico,Female,34
Mexico,Female,31
Mexico,Female,30
Mexico,Female,27
Mexico,Female,22
Mexico,Female,24
Mexico,Female,21
Mexico,Female,30
Mexico,Female,24
Iraq,Male,28
Iraq,Male,20
Djibouti,Male,27
Djibouti,Male,27
Djibouti,Male,28
Djibouti,Female,25
Djibouti,Male,20
Comoros,Male,27
Mexico,Male,23
Mexico,Male,22
Mexico,Female,25
Mexico,Male,27
Mexico,Male,24
Mexico,Male,29
Mexico,Male,30
Mexico,Male,28
Mexico,Female,27
Mexico,Female,33
Mexico,Female,27
Mexico,Female,29
Mexico,Male,32
Mexico,Female,31
Mexico,Female,25
Mexico,Female,30
Mexico,Male,27
Mexico,Male,32
Colombia,Female,23
Mexico,Male,22
Mexico,Male,23
Mexico,Female,27
Mexico,Female,24
Mexico,Male,20
Mexico,Male,28
Mexico,Male,56
Mexico,Male,30
Mexico,Female,30
Mexico,Female,28
Mexico,Female,20
Mexico,Female,20
Mexico,Female,22
Mexico,Female,20
Mexico,Female,17
Mexico,Male,26
Mexico,Male,27
Mexico,Female,31
Mexico,Male,27
Mexico,Female,25
Mexico,Male,22
United Arab Emirates,Male,26
United Arab Emirates,Male,25
United Arab Emirates,Male,23
United Arab Emirates,Male,34
United Arab Emirates,Female,26
Djibouti,Male,26
United Arab Emirates,Female,23
Mexico,Female,30
Mexico,Female,18
Mexico,Male,20
Mexico,Female,32
Mexico,Male,24
Mexico,Female,28
Mexico,Female,40
Mexico,Male,25
Mexico,Male,25
Mexico,Female,28
Mexico,Female,25
Mexico,Female,31
Colombia,Female,21
Colombia,Male,20
Colombia,Female,33
Colombia,Female,35
Colombia,Female,24
Colombia,Female,24
Colombia,Female,22
Colombia,Male,30
Islamic Republic of Iran,Male,22
Malawi,Female,27
United Arab Emirates,Male,21
Argentina,Male,24
Iraq,Male,20
Iraq,Male,20
Iraq,Male,23
Iraq,Male,23
Singapore,Male,18
Singapore,Male,27
Singapore,Female,21
Singapore,Male,22
Singapore,Female,28
Iraq,Male,23
Iraq,Male,22
Malaysia,Male,19
Iraq,Male,23
Malaysia,Male,32
Malaysia,Female,27
Malaysia,Female,26
Iraq,Male,20
Iraq,Male,23
Iraq,Male,23
Iraq,Male,23
Mauritania,Male,22
Singapore,Female,32
Mexico,Female,39
Islamic Republic of Iran,Male,21
Islamic Republic of Iran,Male,24
Islamic Republic of Iran,Female,19
Islamic Republic of Iran,Female,26
Gabon,Male,22
Djibouti,Female,21
Mexico,Male,18
Mexico,Female,26
Mexico,Female,19
Mexico,Male,26
Mexico,Female,22
Islamic Republic of Iran,Male,30
Islamic Republic of Iran,Male,32
Islamic Republic of Iran,Male,33
Iraq,Male,26
India,Female,26
Mexico,Male,33
India,Male,28
India,Male,36
Ethiopia,Male,19
Mexico,Male,24
Mexico,Male,26
Mexico,Female,24
Mexico,Male,33
Mexico,Female,27
Ethiopia,Female,27
Ethiopia,Female,23
Ethiopia,Female,23
India,Female,26
India,Female,24
Ethiopia,Male,19
Mexico,Female,31
Mexico,Male,27
Mexico,Male,29
Islamic Republic of Iran,Female,38
Islamic Republic of Iran,Female,25
Singapore,Male,27
Singapore,Male,29
Singapore,Female,31
Singapore,Female,25
Islamic Republic of Iran,Male,22
Islamic Republic of Iran,Female,31
Islamic Republic of Iran,Male,31
India,Male,25
Jamaica,Female,32
Saint Kitts and Nevis,Male,22
Islamic Republic of Iran,Male,25
Islamic Republic of Iran,Male,24
Ethiopia,Female,22
Ethiopia,Female,18
Ethiopia,Female,23
Islamic Republic of Iran,Male,31
Congo,Male,24
Ethiopia,Male,23
Ethiopia,Male,27
Ethiopia,Male,30
Congo,Female,25
Congo,Female,31
India,Female,30
Ethiopia,Male,24
Ethiopia,Male,25
Ethiopia,Male,21
Ethiopia,Male,18
Ethiopia,Female,24
Ethiopia,Female,19
Ethiopia,Female,24
Singapore,Female,28
Singapore,Male,18
Puerto Rico,Male,29
Puerto Rico,Male,24
Puerto Rico,Female,24
Puerto Rico,Female,27
"Virgin Islands, US",Male,23
Puerto Rico,Male,33
Argentina,Female,29
Puerto Rico,Female,28
Saint Lucia,Male,25
Puerto Rico,Male,27
Puerto Rico,Male,26
Puerto Rico,Female,33
Mexico,Female,21
Jamaica,Male,27
Mexico,Male,27
Argentina,Female,16
Marshall Islands,Female,28
Marshall Islands,Female,22
Marshall Islands,Male,27
Mexico,Male,28
Mexico,Female,25
Mexico,Female,28
Islamic Republic of Iran,Male,25
Iraq,Male,23
Saint Lucia,Female,23
Saint Lucia,Male,22
Iraq,Male,21
Ethiopia,Female,27
Jordan,Female,30
Ethiopia,Female,26
Islamic Republic of Iran,Female,22
Jordan,Male,26
Oman,Male,39
Oman,Male,25
Jordan,Male,23
India,Male,25
India,Female,27
Argentina,Male,19
Argentina,Female,32
Argentina,Female,30
Argentina,Male,28
Argentina,Male,24
Argentina,Male,23
Ghana,Male,23
Saint Lucia,Male,22
Libya,Male,24
Libya,Male,21
Algeria,Male,34
Argentina,Male,36
Argentina,Male,24
Argentina,Female,25
Cayman Islands,Male,22
Argentina,Female,27
Argentina,Female,17
Argentina,Male,30
Argentina,Male,26
Argentina,Female,18
Guyana,Female,27
India,Male,37
India,Male,29
India,Female,29
India,Male,24
AIN,Female,27
India,Female,26
India,Female,28
AIN,Male,30
India,Male,42
AIN,Female,21
India,Female,30
India,Female,33
India,Female,22
AIN,Male,25
India,Female,25
India,Male,31
India,Female,24
St Vincent and the Grenadines,Female,17
St Vincent and the Grenadines,Male,21
Argentina,Female,31
Argentina,Female,29
Argentina,Female,34
Argentina,Female,22
Argentina,Female,20
Argentina,Female,19
Argentina,Female,27
Argentina,Female,28
Argentina,Female,29
Argentina,Female,25
Argentina,Female,21
Argentina,Female,36
Argentina,Female,33
Argentina,Female,27
Argentina,Female,27
Argentina,Male,29
Argentina,Male,21
Argentina,Male,27
Argentina,Male,29
Argentina,Male,27
Argentina,Male,28
Argentina,Male,27
Argentina,Male,23
Argentina,Male,31
Argentina,Male,26
Islamic Republic of Iran,Female,30
Islamic Republic of Iran,Female,24
Islamic Republic of Iran,Male,16
Islamic Republic of Iran,Female,26
Islamic Republic of Iran,Female,24
Islamic Republic of Iran,Female,25
Romania,Female,22
Algeria,Female,39
Bahrain,Male,28
Côte d'Ivoire,Male,28
Côte d'Ivoire,Female,27
Uzbekistan,Male,25
Uzbekistan,Female,32
Uzbekistan,Male,22
Islamic Republic of Iran,Male,23
Singapore,Female,33
Argentina,Male,35
Argentina,Male,31
Argentina,Male,40
Argentina,Male,32
Argentina,Male,28
Argentina,Male,25
Argentina,Male,29
Jamaica,Female,26
Argentina,Male,29
Argentina,Male,30
Jamaica,Female,28
Bermuda,Male,27
Jamaica,Female,32
Bermuda,Female,37
Romania,Male,29
Romania,Female,34
Romania,Female,24
Romania,Female,34
Romania,Female,32
Romania,Female,25
Romania,Male,27
India,Male,32
India,Male,24
India,Male,27
Luxembourg,Male,31
India,Female,29
India,Male,25
India,Female,21
India,Female,35
Romania,Female,31
Romania,Female,28
Romania,Female,37
Romania,Female,29
Romania,Male,27
Malawi,Male,27
Argentina,Female,33
Guyana,Male,30
Guyana,Female,27
Guyana,Male,19
Guyana,Female,18
Saint Kitts and Nevis,Female,22
Côte d'Ivoire,Male,24
Côte d'Ivoire,Female,25
India,Male,22
India,Male,23
India,Male,26
India,Male,22
India,Male,25
India,Male,23
Morocco,Male,27
India,Male,28
India,Female,23
India,Female,19
India,Female,20
India,Female,33
India,Female,21
India,Male,23
Argentina,Male,29
Ireland,Female,27
Ireland,Male,31
Ireland,Male,29
Ireland,Male,28
Ireland,Female,29
Ireland,Male,19
Ireland,Female,23
Ireland,Male,26
Ireland,Female,40
Ireland,Female,23
Ireland,Male,25
Ireland,Male,23
Ireland,Female,28
Ireland,Female,23
Ireland,Female,35
Ireland,Female,26
Ireland,Female,20
Ireland,Female,30
Ireland,Male,24
Ireland,Female,30
Ireland,Male,25
Ireland,Female,29
Ireland,Female,26
Ireland,Female,34
Ireland,Female,25
Ireland,Female,32
Argentina,Male,28
Argentina,Male,37
Argentina,Male,33
Argentina,Male,35
Argentina,Male,28
Argentina,Male,35
Bermuda,Female,24
Argentina,Male,25
Cayman Islands,Female,20
Argentina,Male,32
Argentina,Male,28
Argentina,Male,30
Argentina,Male,30
Argentina,Male,38
Cayman Islands,Female,18
Bermuda,Female,23
Bermuda,Female,26
Bermuda,Male,26
Romania,Male,34
Romania,Male,26
Romania,Female,24
Romania,Female,29
Romania,Female,28
Bahrain,Male,21
Kiribati,Male,20
Bahrain,Male,30
Bahrain,Male,28
Algeria,Male,28
Algeria,Male,29
Algeria,Female,30
Algeria,Female,25
Algeria,Female,27
Argentina,Male,34
Argentina,Male,32
Argentina,Male,35
Argentina,Male,27
Argentina,Male,24
Argentina,Male,23
