country_long,country_code,id,total_population,Gold Medal,Silver Medal,Bronze Medal,Total
Afghanistan,AFG,4,42239854,0,0,0,0
Åland Islands,ALA,248,0,0,0,0,0
Albania,ALB,8,2745972,0,0,2,2
Algeria,DZA,12,45606480,2,0,1,3
American Samoa,ASM,16,43914,0,0,0,0
Andorra,AND,20,80088,0,0,0,0
Angola,AGO,24,36684202,0,0,0,0
Anguilla,AIA,660,0,0,0,0,0
Antarctica,ATA,10,4490,0,0,0,0
Antigua and Barbuda,ATG,28,94298,0,0,0,0
Argentina,ARG,32,46654581,1,1,1,3
Armenia,ARM,51,2777970,0,3,1,4
Aruba,ABW,533,106277,0,0,0,0
Australia,AUS,36,26638544,18,19,16,53
Austria,AUT,40,9132383,2,0,3,5
Azerbaijan,AZE,31,10112555,2,2,3,7
Bahamas,BHS,44,412623,0,0,0,0
Bahrain,BHR,48,1485509,0,0,0,0
Bangladesh,BGD,50,172954319,0,0,0,0
Barbados,BRB,52,281995,0,0,0,0
Belarus,BLR,112,9178298,0,0,0,0
Belgium,BEL,56,11822592,3,1,6,10
Belize,BLZ,84,410825,0,0,0,0
Benin,BEN,204,13712828,0,0,0,0
Bermuda,BMU,60,63489,0,0,0,0
Bhutan,BTN,64,787424,0,0,0,0
"Bolivia, Plurinational State of",BOL,68,12388571,0,0,0,0
"Bonaire, Sint Eustatius and Saba",BES,535,0,0,0,0,0
Bosnia and Herzegovina,BIH,70,3210847,0,0,0,0
Botswana,BWA,72,2675352,1,1,0,2
Bouvet Island,BVT,74,0,0,0,0,0
Brazil,BRA,76,216422446,3,7,10,20
British Indian Ocean Territory,IOT,86,0,0,0,0,0
Brunei Darussalam,BRN,96,452524,2,1,1,4
Bulgaria,BGR,100,6430370,3,1,3,7
Burkina Faso,BFA,854,23251485,0,0,0,0
Burundi,BDI,108,13238559,0,0,0,0
Cabo Verde,CPV,132,598682,0,0,1,1
Cambodia,KHM,116,16944826,0,0,0,0
Cameroon,CMR,120,28647293,0,0,0,0
Canada,CAN,124,40097761,9,7,11,27
Cayman Islands,CYM,136,69310,0,0,0,0
Central African Republic,CAF,140,5742315,0,0,0,0
Chad,TCD,148,18278568,0,0,0,0
Chile,CHL,152,19629590,1,1,0,2
China,CHN,156,1410710000,40,27,24,91
Christmas Island,CXR,162,0,0,0,0,0
Cocos (Keeling) Islands,CCK,166,0,0,0,0,0
Colombia,COL,170,52085168,0,3,1,4
Comoros,COM,174,852075,0,0,0,0
Congo,COG,178,6106869,0,0,0,0
"Congo, Democratic Republic of the",COD,180,102262808,0,0,0,0
Cook Islands,COK,184,0,0,0,0,0
Costa Rica,CRI,188,5212173,0,0,0,0
Côte d'Ivoire,CIV,384,28873034,0,0,1,1
Croatia,HRV,191,3853200,2,2,3,7
Cuba,CUB,192,11194449,2,1,6,9
Curaçao,CUW,531,147862,0,0,0,0
Cyprus,CYP,196,1260138,0,1,0,1
Czechia,CZE,203,10873689,3,0,2,5
Denmark,DNK,208,5946952,2,2,5,9
Djibouti,DJI,262,1136455,0,0,0,0
Dominica,DMA,212,73040,1,0,0,1
Dominican Republic,DOM,214,11332972,1,0,2,3
Ecuador,ECU,218,18190484,1,2,2,5
Egypt,EGY,818,112716598,1,1,1,3
El Salvador,SLV,222,6364943,0,0,0,0
Equatorial Guinea,GNQ,226,1714671,0,0,0,0
Eritrea,ERI,232,3748901,0,0,0,0
Estonia,EST,233,1366188,0,0,0,0
Eswatini,SWZ,748,1210822,0,0,0,0
Ethiopia,ETH,231,126527060,1,3,0,4
Falkland Islands (Malvinas),FLK,238,0,0,0,0,0
Faroe Islands,FRO,234,53270,0,0,0,0
Fiji,FJI,242,936375,0,1,0,1
Finland,FIN,246,5584264,0,0,0,0
France,FRA,250,68170228,16,26,22,64
French Guiana,GUF,254,0,0,0,0,0
French Polynesia,PYF,258,308872,0,0,0,0
French Southern Territories,ATF,260,0,0,0,0,0
Gabon,GAB,266,2436566,0,0,0,0
Gambia,GMB,270,2773168,0,0,0,0
Georgia,GEO,268,3760365,3,3,1,7
Germany,DEU,276,84482267,12,13,8,33
Ghana,GHA,288,34121985,0,0,0,0
Gibraltar,GIB,292,32688,0,0,0,0
Greece,GRC,300,10361295,1,1,6,8
Greenland,GRL,304,56865,0,0,0,0
Grenada,GRD,308,126183,0,0,2,2
Guadeloupe,GLP,312,0,0,0,0,0
Guam,GUM,316,172952,0,0,0,0
