country_code,region,country,country_long,Gold Medal,Silver Medal,Bronze Medal,Total
ALB,Europe,Albania,Albania,0,0,2,2
ARG,Americas,Argentina,Argentina,1,1,1,3
ARM,Asia,Armenia,Armenia,0,3,1,4
AUS,Oceania,Australia,Australia,18,19,16,53
AUT,Europe,Austria,Austria,2,0,3,5
AZE,Asia,Azerbaijan,Azerbaijan,2,2,3,7
BEL,Europe,Belgium,Belgium,3,1,6,10
BRA,Americas,Brazil,Brazil,3,7,10,20
BRN,Asia,Bahrain,Bahrain,2,1,1,4
CPV,Africa,Cabo Verde,Cabo Verde,0,0,1,1
CAN,Americas,Canada,Canada,9,7,11,27
CHN,Asia,China,People's Republic of China,40,27,24,91
COL,Americas,Colombia,Colombia,0,3,1,4
CIV,Africa,Côte d'Ivoire,Côte d'Ivoire,0,0,1,1
CUB,Americas,Cuba,Cuba,2,1,6,9
CYP,Asia,Cyprus,Cyprus,0,1,0,1
CZE,Europe,Czechia,Czechia,3,0,2,5
DMA,Americas,Dominica,Dominica,1,0,0,1
DOM,Americas,Dominican Republic,Dominican Republic,1,0,2,3
ECU,Americas,Ecuador,Ecuador,1,2,2,5
EGY,Africa,Egypt,Egypt,1,1,1,3
ETH,Africa,Ethiopia,Ethiopia,1,3,0,4
FRA,Europe,France,France,16,26,22,64
GEO,Asia,Georgia,Georgia,3,3,1,7
HKG,Asia,"Hong Kong, China","Hong Kong, China",2,0,2,4
HUN,Europe,Hungary,Hungary,6,7,6,19
IND,Asia,India,India,0,1,5,6
IRL,Europe,Ireland,Ireland,4,0,3,7
ISR,Asia,Israel,Israel,1,5,1,7
ITA,Europe,Italy,Italy,12,13,15,40
JAM,Americas,Jamaica,Jamaica,1,3,2,6
JPN,Asia,Japan,Japan,20,12,13,45
JOR,Asia,Jordan,Jordan,0,1,0,1
KAZ,Asia,Kazakhstan,Kazakhstan,1,3,3,7
KEN,Africa,Kenya,Kenya,4,2,5,11
PRK,Asia,DPR Korea,Democratic People's Republic of Korea,0,2,4,6
KOR,Asia,Korea,Republic of Korea,13,9,10,32
KGZ,Asia,Kyrgyzstan,Kyrgyzstan,0,2,4,6
LTU,Europe,Lithuania,Lithuania,0,2,2,4
MEX,Americas,Mexico,Mexico,0,3,2,5
MDA,Europe,Republic of Moldova,Republic of Moldova,0,1,3,4
MAR,Africa,Morocco,Morocco,1,0,1,2
NZL,Oceania,New Zealand,New Zealand,10,7,3,20
NOR,Europe,Norway,Norway,4,1,3,8
PAK,Asia,Pakistan,Pakistan,1,0,0,1
PAN,Americas,Panama,Panama,0,1,0,1
PER,Americas,Peru,Peru,0,0,1,1
POL,Europe,Poland,Poland,1,4,5,10
QAT,Asia,Qatar,Qatar,0,0,1,1
ROU,Europe,Romania,Romania,3,4,2,9
LCA,Americas,Saint Lucia,Saint Lucia,1,1,0,2
SRB,Europe,Serbia,Serbia,3,1,1,5
SGP,Asia,Singapore,Singapore,0,0,1,1
SVK,Europe,Slovakia,Slovakia,0,0,1,1
ESP,Europe,Spain,Spain,5,4,9,18
SWE,Europe,Sweden,Sweden,4,4,3,11
TJK,Asia,Tajikistan,Tajikistan,0,0,3,3
THA,Asia,Thailand,Thailand,1,3,2,6
TUN,Africa,Tunisia,Tunisia,1,1,1,3
TUR,Asia,Türkiye,Türkiye,0,3,5,8
UGA,Africa,Uganda,Uganda,1,1,0,2
UKR,Europe,Ukraine,Ukraine,3,5,4,12
GBR,Europe,Great Britain,Great Britain,14,22,29,65
USA,Americas,United States,United States of America,40,44,42,126
UZB,Asia,Uzbekistan,Uzbekistan,8,2,3,13
