country_long,disciplines,athletes
Argentina,Football,18
Australia,Football,19
Brazil,Football,22
Canada,Football,19
Colombia,Football,19
Dominican Republic,Football,19
Egypt,Football,19
France,Football,41
Germany,Football,20
Guinea,Football,19
Iraq,Football,19
Israel,Football,19
Japan,Football,43
Mali,Football,19
Morocco,Football,19
New Zealand,Football,40
Nigeria,Football,18
Paraguay,Football,19
Spain,Football,44
Ukraine,Football,18
United States of America,Football,39
Uzbekistan,Football,21
Zambia,Football,20
