country_long,disciplines,athletes
AIN,Rowing,2
Algeria,Rowing,2
Angola,Rowing,1
Argentina,Rowing,4
Australia,Rowing,37
Austria,Rowing,3
Azerbaijan,Rowing,1
Belgium,Rowing,3
Bermuda,Rowing,1
Brazil,Rowing,2
Bulgaria,Rowing,2
Canada,Rowing,11
Chile,Rowing,4
Croatia,Rowing,5
Cuba,Rowing,2
Czechia,Rowing,6
Denmark,Rowing,16
Egypt,Rowing,3
Estonia,Rowing,4
France,Rowing,12
Germany,Rowing,23
Great Britain,Rowing,42
Greece,Rowing,7
"Hong Kong, China",Rowing,1
Hungary,Rowing,1
India,Rowing,1
Indonesia,Rowing,1
Ireland,Rowing,16
Islamic Republic of Iran,Rowing,3
Italy,Rowing,34
Japan,Rowing,5
Kazakhstan,Rowing,1
Kuwait,Rowing,1
Libya,Rowing,1
Lithuania,Rowing,8
Mexico,Rowing,3
Monaco,Rowing,1
Morocco,Rowing,1
Netherlands,Rowing,33
New Zealand,Rowing,20
Nicaragua,Rowing,1
Norway,Rowing,10
Paraguay,Rowing,2
People's Republic of China,Rowing,14
Peru,Rowing,3
Philippines,Rowing,1
Poland,Rowing,6
Romania,Rowing,35
Serbia,Rowing,3
Singapore,Rowing,1
Slovenia,Rowing,2
South Africa,Rowing,3
Spain,Rowing,9
Sudan,Rowing,1
Switzerland,Rowing,17
Thailand,Rowing,1
Togo,Rowing,1
Tunisia,Rowing,3
Türkiye,Rowing,1
Uganda,Rowing,1
Ukraine,Rowing,6
United States of America,Rowing,42
Uruguay,Rowing,1
Uzbekistan,Rowing,3
Vietnam,Rowing,1
Zimbabwe,Rowing,1
