country_long,disciplines,athletes
AIN,Swimming,4
Afghanistan,Swimming,1
Albania,Swimming,2
Algeria,Swimming,2
American Samoa,Swimming,1
Angola,Swimming,2
Antigua and Barbuda,Swimming,2
Argentina,Swimming,3
Armenia,Swimming,2
Aruba,Swimming,2
Australia,Swimming,41
Austria,Swimming,7
Azerbaijan,Swimming,2
Bahamas,Swimming,2
Bahrain,Swimming,2
Bangladesh,Swimming,2
Barbados,Swimming,1
Belgium,Swimming,4
Benin,Swimming,2
Bermuda,Swimming,2
Bhutan,Swimming,1
Bolivia,Swimming,2
Bosnia and Herzegovina,Swimming,2
Botswana,Swimming,2
Brazil,Swimming,18
Brunei Darussalam,Swimming,2
Bulgaria,Swimming,4
Burkina Faso,Swimming,2
Burundi,Swimming,2
Cabo Verde,Swimming,2
Cambodia,Swimming,2
Cameroon,Swimming,2
Canada,Swimming,28
Cayman Islands,Swimming,2
Central African Republic,Swimming,2
Chile,Swimming,2
Chinese Taipei,Swimming,2
Colombia,Swimming,2
Comoros,Swimming,2
Congo,Swimming,2
Cook Islands,Swimming,1
Costa Rica,Swimming,2
Croatia,Swimming,3
Cuba,Swimming,2
Cyprus,Swimming,2
Czechia,Swimming,4
Democratic Republic of Timor-Leste,Swimming,2
Democratic Republic of the Congo,Swimming,2
Denmark,Swimming,7
Djibouti,Swimming,2
Dominica,Swimming,2
Dominican Republic,Swimming,2
Ecuador,Swimming,2
Egypt,Swimming,2
El Salvador,Swimming,2
Equatorial Guinea,Swimming,1
Eritrea,Swimming,2
Estonia,Swimming,2
Eswatini,Swimming,2
Ethiopia,Swimming,1
Federated States of Micronesia,Swimming,2
Fiji,Swimming,2
Finland,Swimming,2
France,Swimming,29
Gabon,Swimming,2
Gambia,Swimming,2
Georgia,Swimming,2
Germany,Swimming,25
Ghana,Swimming,2
Great Britain,Swimming,30
Greece,Swimming,16
Grenada,Swimming,2
Guatemala,Swimming,2
Guinea,Swimming,2
Guinea-Bissau,Swimming,1
Guyana,Swimming,2
Haiti,Swimming,2
Honduras,Swimming,2
"Hong Kong, China",Swimming,7
Hungary,Swimming,21
Iceland,Swimming,2
India,Swimming,2
Indonesia,Swimming,2
Iraq,Swimming,1
Ireland,Swimming,12
Islamic Republic of Iran,Swimming,1
Israel,Swimming,17
Italy,Swimming,36
Jamaica,Swimming,2
Japan,Swimming,27
Jordan,Swimming,2
Kazakhstan,Swimming,2
Kenya,Swimming,2
Kosovo,Swimming,2
Kuwait,Swimming,2
Kyrgyzstan,Swimming,2
Lao People's Democratic Republic,Swimming,2
Latvia,Swimming,2
Lebanon,Swimming,2
Libya,Swimming,2
Lithuania,Swimming,7
Luxembourg,Swimming,1
Madagascar,Swimming,2
Malawi,Swimming,2
Malaysia,Swimming,2
Maldives,Swimming,2
Mali,Swimming,2
Malta,Swimming,2
Marshall Islands,Swimming,2
Mauritania,Swimming,1
Mauritius,Swimming,2
Mexico,Swimming,4
Monaco,Swimming,1
Mongolia,Swimming,2
Montenegro,Swimming,2
Morocco,Swimming,2
Mozambique,Swimming,2
Myanmar,Swimming,1
Nepal,Swimming,2
Netherlands,Swimming,19
New Zealand,Swimming,9
Nicaragua,Swimming,2
Niger,Swimming,2
Nigeria,Swimming,2
North Macedonia,Swimming,1
Norway,Swimming,3
Oman,Swimming,1
Pakistan,Swimming,2
Palau,Swimming,2
Palestine,Swimming,2
Panama,Swimming,2
Papua New Guinea,Swimming,2
Paraguay,Swimming,2
People's Republic of China,Swimming,31
Peru,Swimming,2
Philippines,Swimming,2
Poland,Swimming,20
Portugal,Swimming,4
Puerto Rico,Swimming,2
Qatar,Swimming,1
Refugee Olympic Team,Swimming,2
Republic of Korea,Swimming,15
Republic of Moldova,Swimming,2
Romania,Swimming,3
Rwanda,Swimming,2
Saint Kitts and Nevis,Swimming,1
Saint Lucia,Swimming,1
Samoa,Swimming,2
San Marino,Swimming,1
Saudi Arabia,Swimming,2
Senegal,Swimming,2
Serbia,Swimming,5
Seychelles,Swimming,2
Sierra Leone,Swimming,2
Singapore,Swimming,5
Slovakia,Swimming,2
Slovenia,Swimming,5
Solomon Islands,Swimming,1
South Africa,Swimming,8
Spain,Swimming,18
Sri Lanka,Swimming,2
St Vincent and the Grenadines,Swimming,2
Sudan,Swimming,2
Suriname,Swimming,2
Sweden,Swimming,13
Switzerland,Swimming,8
Syrian Arab Republic,Swimming,1
Tajikistan,Swimming,2
Thailand,Swimming,2
Togo,Swimming,2
Tonga,Swimming,2
Trinidad and Tobago,Swimming,2
Tunisia,Swimming,2
Turkmenistan,Swimming,2
Türkiye,Swimming,8
Uganda,Swimming,2
Ukraine,Swimming,5
United Arab Emirates,Swimming,2
United Republic of Tanzania,Swimming,2
United States of America,Swimming,46
Uruguay,Swimming,2
Uzbekistan,Swimming,2
Vanuatu,Swimming,2
Venezuela,Swimming,3
Vietnam,Swimming,2
"Virgin Islands, US",Swimming,2
Yemen,Swimming,1
Zambia,Swimming,2
Zimbabwe,Swimming,2
